/srv/cura-build-environment/lib/python3.8/site-packages/trimesh/util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
/srv/cura-build-environment/lib/python3.8/site-packages/trimesh/voxel/runlength.py:205: DeprecationWarning: `np.bool` is a deprecated alias for the builtin `bool`. To silence this warning, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
2022-04-22 15:32:50,119 - DEBUG - [MainThread] UM.Application.initialize [161]: Initializing Ultimaker Cura
2022-04-22 15:32:50,119 - DEBUG - [MainThread] UM.Application.initialize [162]: App Version 4.13.1
2022-04-22 15:32:50,119 - DEBUG - [MainThread] UM.Application.initialize [163]: Api Version 7.9.0
2022-04-22 15:32:50,119 - DEBUG - [MainThread] UM.Application.initialize [164]: Build type None
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/bin/share/uranium/plugins must be a folder.
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/bin/share/cura/plugins must be a folder.
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/lib/uranium must be a folder.
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/lib64/uranium must be a folder.
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/lib32/uranium must be a folder.
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/Resources/uranium/plugins must be a folder.
2022-04-22 15:32:50,120 - WARNING - [MainThread] UM.Logger.warning [143]: Plugin location /tmp/.mount_Ultimakknu35/usr/Resources/cura/plugins must be a folder.
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.Resources.__initializeStoragePaths [447]: Initializing storage paths
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.Resources.__initializeStoragePaths [457]: Config storage path is /home/ip/.config/cura/4.13
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.Resources.__initializeStoragePaths [465]: Data storage path is /home/ip/.local/share/cura/4.13
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.Resources.__initializeStoragePaths [477]: Cache storage path is /home/ip/.cache/cura/4.13
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PackageManager.__init__ [55]: Found bundled packages JSON file: /tmp/.mount_Ultimakknu35/usr/bin/resources/bundled_packages/cura.json
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PackageManager.__init__ [55]: Found bundled packages JSON file: /tmp/.mount_Ultimakknu35/usr/bin/resources/bundled_packages/uranium.json
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.View.GL.OpenGLContext.detectBestOpenGLVersion [123]: Trying OpenGL context 4.1...
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.View.GL.OpenGLContext.detectBestOpenGLVersion [131]: Yay, we got at least OpenGL 4.1 core: 4.1 Core profile
2022-04-22 15:32:50,120 - DEBUG - [MainThread] UM.Qt.QtApplication.initialize [177]: Detected most suitable OpenGL context version: 4.1 Core profile
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.Qt.QtApplication.initialize [184]: Initializing job queue ...
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.Qt.QtApplication.initialize [188]: Initializing version upgrade manager ...
2022-04-22 15:32:50,120 - INFO - [MainThread] cura.SingleInstance.startClient [26]: Checking for the presence of an ready running Cura instance.
2022-04-22 15:32:50,120 - DEBUG - [MainThread] cura.SingleInstance.startClient [28]: Full single instance server name: 
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PackageManager._loadManagementData [170]: Loaded bundled packages data from /tmp/.mount_Ultimakknu35/usr/bin/resources/bundled_packages/cura.json
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PackageManager._loadManagementData [170]: Loaded bundled packages data from /tmp/.mount_Ultimakknu35/usr/bin/resources/bundled_packages/uranium.json
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PackageManager._loadManagementData [197]: Loaded user packages management file from /home/ip/.local/share/cura/4.13/packages.json
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PackageManager._saveManagementData [270]: Package management file /home/ip/.local/share/cura/4.13/packages.json was saved
2022-04-22 15:32:50,120 - INFO - [MainThread] UM.PluginRegistry.initializeBeforePluginsAreLoaded [119]: Loading plugin configuration file '/home/ip/.config/cura/4.13/plugins.json'
